te_source_kind,speaker,content,start,end,event_type,role,tool_name,agent_type,agent_id,model,tokens_out,event_id,content_type
ai,Edwin,"I'm teaching an undergraduate intro to computer science course next semester and
I need a simple website for it. What should be on it and how should I put it
together?",0.0,27.779,message,user,,,,,,c27d067c-74f0-4297-a5a4-56f353be144d,text
ai,Claude,"For an intro CS course, the winning move is a **static site you can edit in a text file and push** — not a CMS, not WordPress. Here's what goes on it and how I'd build it.

## What belongs on the site

**The five things students actually visit for** (make these findable in one click):

1. **Schedule / calendar** — week-by-week table: date, topic, readings, what's due. This is the page students hit 20× a semester. Keep it as a single table you update weekly.
2. **Assignments** — one page per assignment or one page listing all, with due dates, spec, submission instructions, and the late policy restated inline.
3. **Logistics block** — meeting time/place, your office hours, TA office hours, contact policy (e.g. ""use the forum, not email""), links to the discussion forum (Ed/Piazza), gradescope/autograder, and the LMS.
4. **Syllabus** — grading breakdown, collaboration/academic-integrity policy, AI-use policy (write this one explicitly for intro CS; it's the single most-asked question now), accessibility and Title IX boilerplate your university requires.
5. **Setup / resources** — how to install the language toolchain on Mac/Windows/Linux, how to use the editor you've standardized on, plus a ""getting unstuck"" page.

**Worth adding, cheap to do:** a short ""what this course is"" paragraph on the landing page for prospective students, and links to past exams/practice problems.

**Deliberately leave off:** lecture recordings and anything FERPA-adjacent (grades, rosters, individual feedback) — those live behind the LMS login. A public static site should contain nothing student-identifying.

## How to build it

**Recommendation: Markdown + GitHub Pages.**

- Write each page as a `.md` file in a Git repo.
- Enable GitHub Pages in the repo settings, pick a built-in Jekyll theme (`minima` or `just-the-docs` — the latter gives you a sidebar and search, which suits a course site well).
- Push to publish. No build step to run locally, no server to maintain, free hosting, and version history for free.

Total setup is an afternoon; weekly updates are ""edit the schedule table, commit, done."" It also survives you handing the course to someone else, and you can fork it next semester by copying the repo.

Two practical touches:
- Put the schedule table in one file and never restructure it mid-semester — students bookmark and skim it.
- Date-stamp changes (""Updated Oct 3: HW4 extended to Friday""). Silent edits to due dates cause grade disputes.

**Alternatives, and when they're right:**
- *A single hand-written `index.html`* — genuinely fine if you want zero tooling. Gets awkward past ~5 pages.
- *Course LMS only (Canvas/Blackboard)* — use it for grades and file distribution regardless. But its public-facing pages are usually login-walled and painful to edit, which is why most CS instructors run a static site alongside it.
- *Notion / Google Sites* — fast to start, but you'll fight the editor and won't have version control. Fine if you never want to touch HTML.

**Skip:** WordPress, Wix, or anything with a database. You'd be maintaining security updates for a site that's ten pages of text.

One thing I'd decide before you start: whether your department already has a hosting convention (many CS departments give faculty a `~/public_html` on a department server, and some require course sites live there). Worth a one-line email to your sysadmin — if they have a standard, use it, and the Markdown-source approach still works since you can rsync the built output.

Want me to scaffold the repo — page structure, a schedule table template, and the Pages config — so you just fill in content?",27.779,46.925,message,assistant,,,,claude-opus-5,1471,63931a5b-53b8-4091-8d6a-65fdb6b4f1cc,text
ai,Edwin,What's the simplest way to host something like that for free?,46.925,59.558,message,user,,,,,,4c47a7f3-e6b9-4b4e-8d28-8954aecc6140,text
ai,Claude,"**GitHub Pages.** It's free, has no bandwidth meter you'll realistically hit, requires no credit card, and never expires or asks you to upgrade.

The whole flow:

1. Make a GitHub account (free) and a public repo — name it something like `cs101`.
2. Add an `index.md` with your landing page content.
3. Settings → Pages → Source: ""Deploy from a branch"" → `main` / root.
4. Wait ~60 seconds. Your site is at `https://yourusername.github.io/cs101/`.

That's it. Every subsequent update is: edit the file (you can do it in the browser on github.com — no Git commands needed), commit, and it's live in under a minute.

If you want a nicer URL, add a theme and a custom domain later; both are optional and neither costs anything on the hosting side.

**The two runners-up**, if GitHub rubs you the wrong way:

- **Cloudflare Pages** — same model, connects to a GitHub or GitLab repo, slightly faster builds and a more generous setup for custom domains. Marginally more configuration up front.
- **Netlify** — you can literally drag a folder of HTML onto their site and it goes live. Fastest possible start, but the free tier has a bandwidth cap and they periodically nudge you toward paid plans.

**Worth checking first:** your university almost certainly gives you free web space already, often at a URL like `cs.university.edu/~yourname/`. It costs nothing, it's the address students expect, and it doesn't disappear if a third-party service changes its terms. The downside is usually a clunkier upload process (SFTP) and no version history — which is why a common setup is to keep the source in GitHub and copy the output to the department server, getting both.

One caveat on the free tiers generally: they're free for *public* sites. If you ever need to put something behind a login, that's the LMS's job, not the static host's.",59.558,74.982,message,assistant,,,,claude-opus-5,676,e9a7062b-c41c-491b-a4f8-e8dc077bb7a5,text
ai,Edwin,Does that work if I need to update the weekly schedule myself?,74.982,85.39,message,user,,,,,,9e3ae5c4-78e5-452e-82de-e38d595c1439,text
ai,Claude,"Yes — and it's arguably the easiest part.

You don't need Git installed, a terminal, or any local tooling. On github.com, open the file, click the pencil icon, edit the text in the browser, and click ""Commit changes."" The site rebuilds and goes live in under a minute. That's the entire weekly loop, and it works from any machine you're logged into, including your phone if you're extending a deadline from a conference.

If your schedule is a Markdown table, a weekly update looks like changing one row:

```markdown
| Week | Date   | Topic              | Reading   | Due    |
|------|--------|--------------------|-----------|--------|
| 5    | Oct 6  | Recursion          | Ch. 7     | HW4    |
| 6    | Oct 13 | Sorting            | Ch. 8     | —      |
```

Two things that make this genuinely low-friction over a semester:

- **Fill in the whole schedule before week 1**, even roughly. Then weekly maintenance is correcting drift, not authoring from scratch — much less likely to slip when you're busy.
- **Keep the schedule in its own file.** You'll touch it 15 times and everything else twice. Don't bury it in a page you have to scroll through.

The one thing to be aware of: each edit is a commit, so you get a full history of what the page said and when. That's usually a feature — when a student says the site listed a different due date, you can check. But it means edits are public and permanent, so avoid typing anything into a commit you wouldn't want visible.

If browser editing starts feeling slow, the natural next step is GitHub Desktop (a GUI, no command line) — but plenty of instructors run a course site for years without ever leaving the web interface.",85.39,129.495,message,assistant,,,,claude-opus-5,584,e33214a6-e3f2-4af8-a048-8a93557ceffa,text
ai,Edwin,How should I put code examples on the site so students can copy them?,173.6,189.273,message,user,,,,,,6371e8e3-ec13-41bf-a069-fddd2c4fb121,text
ai,Claude,"Use **fenced code blocks in Markdown**, which GitHub Pages syntax-highlights automatically:

````markdown
```python
def factorial(n):
    if n <= 1:
        return 1
    return n * factorial(n - 1)
```
````

The language tag after the backticks turns on highlighting (Jekyll uses Rouge, which knows Python, Java, C, JavaScript, and basically anything you'd teach). No plugins, no config.

**Getting a copy button.** Plain themes like `minima` don't have one; students select-and-drag instead, which is fine but error-prone for multi-line code. Two fixes:

- Use `just-the-docs` as your theme — it ships with copy buttons on code blocks.
- Or drop ~15 lines of vanilla JS in your layout that adds a button to every `<pre>`. No dependencies.

**The approach I'd actually recommend for anything students run:** keep real `.py` (or `.java`, etc.) files in the repo and *link* to them rather than only pasting into the page. Three reasons — students can download the file directly, you can't introduce transcription typos, and the code stays runnable and testable on your end. A `code/` directory in the same repo works; GitHub renders the files with highlighting and offers a ""Raw"" view and a download button for free. Paste short snippets inline, link to anything over ~20 lines.

**Two traps worth knowing about**, both of which produce code that looks right and fails to run:

1. **Never author code in Word or Google Docs and paste it in.** They convert `""` to `""` and `'` to `'`, and hyphens to en-dashes. Students paste it, get a syntax error, and can't see why. Write code in an editor or directly in the fenced block.
2. **Indentation must be spaces, consistently.** Mixed tabs and spaces are invisible on a web page and fatal in Python. If you copy from an editor set to tabs, convert first.

If you want students to *run* code without installing anything, link to a Replit or Google Colab notebook alongside the snippet. Worth it for the first two weeks while everyone's toolchain is still broken; less necessary after that.",189.273,209.343,message,assistant,,,,claude-opus-5,907,acc146d0-b188-430c-b4cc-b6ec0c81d821,text
ai,Edwin,"Look that up rather than answering from memory — I want to see the actual current docs, double check all the data please",229.413,233.643,message,user,,,,,,3dc92584-a087-40cb-93e6-626dc4eb9168,text
ai,Tool:ToolSearch,"[ToolSearch] {""query"": ""select:WebSearch,WebFetch"", ""max_results"": 2}",233.643,233.655,tool_call,tool,ToolSearch,,,claude-opus-5,,d3dfb2d0-6059-4a23-a3c0-5bd7f9a7d39a,text
