speaker,content,start,end,event_type,role,tool_name,agent_type,agent_id,model,tokens_out,event_id,content_type
Edwin,"I'm a high school science teacher and a lot of my students struggle to understand our science textbooks. What does the research say about the most effective ways to improve reading comprehension in science, and what should I actually do in my classroom? Give me specific studies with author names and effect sizes where you can.",0.0,11.2,message,user,,,,,,6f917a40-3297-4fa4-98fa-8745a26acb04,text
Idle,[Gap: 64s — user reading/thinking/away],11.2,75.677,idle,system,,,,,,idle_0,text
Claude,"## The single biggest finding

The research consensus that matters most for you: **science reading comprehension is mostly a knowledge and language problem, not a generic strategy problem.** Generic strategy instruction (""make a prediction, visualize, summarize"") produces real but small and rapidly-plateauing gains. Students fail at science text primarily because they lack (a) the topic knowledge that makes the text coherent and (b) fluency with academic/scientific language — nominalizations, dense noun phrases, passive constructions, technical vocabulary.

Catherine Snow's 2010 *Science* article ""Academic Language and the Challenge of Reading for Learning About Science"" is the canonical statement of this. Shanahan & Shanahan (2008, *Harvard Educational Review*) made the parallel ""disciplinary literacy"" argument: reading like a scientist is different from reading like a historian, and generic strategies don't transfer.

Practical implication: the highest-leverage move is to teach reading *through* your science content, not as a separate add-on.

---

## What has the strongest evidence

**1. Integrated science–literacy instruction**
Cervetti, Barber, Dorph, Pearson & Goldschmidt (2012, *JRST*) — the Seeds of Science/Roots of Reading trial. Effects favoring the integrated program: science understanding ~d = 0.5, science vocabulary ~d = 0.7, science writing ~d = 0.5. Notably, **no significant effect on general reading comprehension.** That pattern repeats across this literature and is worth internalizing: integrating literacy into science reliably improves science learning and science-specific reading, and rarely moves general reading scores.

Vaughn et al. (2013) and the PACT studies (middle-school social studies, but the design generalizes) found content knowledge effects around d = 0.40 with smaller comprehension effects (~0.20).

**2. Text structure instruction**
Hebert, Bohaty, Nelson & Brandon (2016, *Journal of Educational Psychology*) meta-analyzed text structure instruction for expository text: overall g ≈ 0.57 on comprehension. This is one of the better-supported specific techniques, and it's underused. Explicitly teaching students to recognize cause–effect, compare–contrast, problem–solution, and sequence structures — and the signal words for each — pays off in exactly the kind of text your textbook is.

**3. Writing about the text**
Graham & Hebert (2011, *Harvard Educational Review*), ""Writing to Read"" meta-analysis: having students write about what they read improved comprehension, average ES ≈ 0.40. Extended writing beat note-taking, which beat answering questions, which beat summarizing — but all were positive. Cheap and easy to implement.

**4. Structured text-based discussion**
Murphy, Wilkinson, Soter, Hennessey & Alexander (2009, *Journal of Educational Psychology*) meta-analyzed nine classroom discussion approaches. Most dramatically increased student talk; effects on comprehension were more variable, with Questioning the Author and Instructional Conversations showing the clearest comprehension gains. The lesson: discussion helps when it's *structured around the text and its meaning*, not when it's open-ended sharing.

**5. Vocabulary — with an important caveat**
Elleman, Lindo, Morphy & Compton (2009) meta-analysis: vocabulary instruction produced d ≈ 0.50 on researcher-made comprehension measures but only d ≈ 0.10 on standardized ones. Stahl & Fairbanks (1986) found a similar split. So vocabulary instruction genuinely helps students understand *the passages containing those words* — which is exactly what you want in a science class — but don't expect general reading scores to move.

**6. Self-explanation**
McNamara's work on Self-Explanation Reading Training and iSTART: training students to explain each sentence to themselves as they read produces solid gains, especially for low-knowledge readers. Related: elaborative interrogation (""why would that be true?""), which has good support in the cognitive science literature (Dunlosky et al., 2013, *PSPI*, rated it ""moderate utility"").

**7. Concept-Oriented Reading Instruction (CORI)**
Guthrie, McRae & Klauda (2007, *Educational Psychologist*) report large effects — comprehension around d = 0.9 — for CORI, which bundles hands-on science, strategy instruction, and motivational supports. Treat that number with some skepticism: it's largely from developer-conducted studies with researcher-designed measures. But the *design principle* — anchor reading in inquiry students actually care about — is sound.

---

## Effect-size caveat, since you asked for numbers

Two things will save you from being misled:
- **Researcher-designed measures inflate effects roughly 2–4× over standardized tests.** Any comprehension ES above ~0.6 is almost certainly on a custom measure.
- **Hattie's ""0.40 hinge point"" is not a meaningful benchmark.** For adolescent literacy interventions on standardized outcomes, anything above ~0.20 is a genuinely useful result.

---

## What I'd actually do in your classroom

**Build knowledge before the hard text, not after.** A short video, demo, or discussion that front-loads the schema turns an incomprehensible passage into a merely difficult one. This is the highest-yield 10 minutes you have.

**Teach the sentence, not just the word.** Science text is hard largely because of *grammatical metaphor* — ""the deposition of sediment reduced flow velocity"" instead of ""sediment settled, so the water slowed down."" Fang & Schleppegrell's work is the reference here. Pick 2–3 dense sentences per unit and have students unpack them into everyday language, then repack them into scientific language. This is a 5-minute routine with outsized returns.

**Run a text-structure routine.** Before reading, tell students the structure (""this section is cause–effect"") and give them a matching graphic organizer. Nesbit & Adesope's (2006) meta-analysis of concept mapping found d ≈ 0.5 on knowledge outcomes. Fade the scaffold over the year.

**Adopt one discussion protocol and use it constantly.** Questioning the Author is my recommendation for science: stop at planned points and ask ""What is the author trying to say here? Did the author say it clearly? How would you say it?"" It works because it makes the text an object of scrutiny rather than an authority.

**Write short, write often.** A 3–5 sentence explanation at the end of every reading, in students' own words, with a required use of two target terms. Per Graham & Hebert, this is where the 0.40 lives — and it doubles as formative assessment.

**Teach ~6–8 words per unit, deeply.** Beck, McKeown & Kucan's robust vocabulary instruction: multiple exposures, multiple contexts, student-generated examples, and requiring the words in speech and writing. Not word lists, not ""look it up.""

**Don't buy a generic strategy program.** Reciprocal teaching (Palincsar & Brown, 1984) is real — Rosenshine & Meister's (1994) meta-analysis found d = 0.88 on experimenter measures but only 0.32 on standardized ones — and 15–20 sessions gets you most of the benefit. A year-long generic strategy curriculum is a poor use of your science minutes.

---

## Where the evidence is genuinely weak

Whether any of this improves students' *general* reading ability is unresolved and the honest answer is probably ""not much, not quickly."" The knowledge-building theory (Hirsch, Willingham, and empirically Hwang, Cabell & Joyner's meta-analysis of content-rich literacy interventions) predicts general gains only over multiple years of coherent, cumulative content — which no single teacher controls. Judge yourself on whether students understand *your* texts better. That's the outcome the research actually supports you moving.

If it'd help, I can turn this into a one-page classroom reference or draft the actual routines (a Questioning the Author stopping-point template, a sentence-unpacking protocol) against a specific chapter of your textbook.",75.677,135.677,message,assistant,,,,claude-opus-5,4874,4b5d05cf-2d74-463c-8c46-4335d37a9bb6,text
Idle,[Gap: 203s — user reading/thinking/away],135.677,339.113,idle,system,,,,,,idle_1,text
Edwin,This has several distinct parts worth investigating in parallel — break it apart however makes sense and work the pieces separately before consolidating.,339.113,350.269,message,user,,,,,,3c40ed5e-faa3-4015-818f-700ba356296c,text
Claude,"Good call. I'll split this into four independent research threads and run them concurrently, then reconcile everything against what I told you.",350.269,363.694,message,assistant,,,,claude-opus-5,4672,5ea52525-333d-4dc1-b444-863737b31e88,text
Tool:Agent,"[Agent spawned: general-purpose] Verify integrated science-literacy evidence

Prompt: You are verifying research claims for a literature summary given to a high school science teacher about improving reading comprehension in science. Use WebSearch and WebFetch extensively. Your job is FACT-CHECKING and DEEPENING, not general summarizing.

THREAD: Integrated science–literacy instruction and content-area reading interventions.

Verify or correct these specific claims, finding primary sources where possible:
1. Cervetti, Barber, Dorph, Pearson & Goldschmidt (2012, Journal of Research in Science Teaching) — the Seeds of Science/Roots of Reading efficacy study. I claimed effect sizes: science understanding ~d=0.5, science vocabulary ~d=0.7, science writing ~d=0.5, and NO significant effect on general reading comprehension. Get the actual reported numbers, the grade level, sample size, and design (RCT? cluster-randomized?).
2. Vaughn et al. PACT studies (Promoting Acceleration of Comprehension and Content through Text) — I claimed content knowledge d≈0.40 and content reading comprehension d≈0.21 in 8th grade social studies (Vaughn et al. 2013). Verify, and find whether there are science-specific PACT or replication studies, and whether larger-scale replications found smaller effects.
3. Guthrie, McRae & Klauda (2007, Educational Psychologist) on Concept-Oriented Reading Instruction (CORI) — I claimed comprehension effects around d=0.9. Verify the actual figure and, importantly, assess the developer-conducted-research critique and whether independent replications exist.
4. Hwang, Cabell & Joyner meta-analysis of content-rich literacy interventions (I believe ~2022, possibly in Journal of Research in Reading or similar) — get the actual citation, effect sizes for vocabulary/comprehension/content knowledge, and grade range studied.
5. Search for any RECENT (2018-2026) meta-analyses or large trials on content-area/disciplinary literacy interventions in SCIENCE specifically at the secondary level. What is the current state of evidence?

Also check: is there good evidence on whether these interventions work for multilingual learners / English learners specifically?

Report back: for each claim, state VERIFIED / CORRECTED (with the right number) / UNVERIFIABLE. Give exact citations. Flag any number I got wrong. Note whether effect sizes come from researcher-designed or standardized measures. Be skeptical and precise — do not confirm a number just because it sounds plausible.",363.694,363.7,agent_spawn,agent,Agent,general-purpose,toolu_01Awdt,claude-opus-5,,014e6e46-2d1b-4f31-9b6b-418257f7f690,text
Agent:general-purpose:aa968d92,"You are verifying research claims for a literature summary given to a high school science teacher about improving reading comprehension in science. Use WebSearch and WebFetch extensively. Your job is FACT-CHECKING and DEEPENING, not general summarizing.

THREAD: Integrated science–literacy instruction and content-area reading interventions.

Verify or correct these specific claims, finding primary sources where possible:
1. Cervetti, Barber, Dorph, Pearson & Goldschmidt (2012, Journal of Research in Science Teaching) — the Seeds of Science/Roots of Reading efficacy study. I claimed effect sizes: science understanding ~d=0.5, science vocabulary ~d=0.7, science writing ~d=0.5, and NO significant effect on general reading comprehension. Get the actual reported numbers, the grade level, sample size, and design (RCT? cluster-randomized?).
2. Vaughn et al. PACT studies (Promoting Acceleration of Comprehension and Content through Text) — I claimed content knowledge d≈0.40 and content reading comprehension d≈0.21 in 8th grade social studies (Vaughn et al. 2013). Verify, and find whether there are science-specific PACT or replication studies, and whether larger-scale replications found smaller effects.
3. Guthrie, McRae & Klauda (2007, Educational Psychologist) on Concept-Oriented Reading Instruction (CORI) — I claimed comprehension effects around d=0.9. Verify the actual figure and, importantly, assess the developer-conducted-research critique and whether independent replications exist.
4. Hwang, Cabell & Joyner meta-analysis of content-rich literacy interventions (I believe ~2022, possibly in Journal of Research in Reading or similar) — get the actual citation, effect sizes for vocabulary/comprehension/content knowledge, and grade range studied.
5. Search for any RECENT (2018-2026) meta-analyses or large trials on content-area/disciplinary literacy interventions in SCIENCE specifically at the secondary level. What is the current state of evidence?

Also check: is there good evidence on whether these interventions work for multilingual learners / English learners specifically?

Report back: for each claim, state VERIFIED / CORRECTED (with the right number) / UNVERIFIABLE. Give exact citations. Flag any number I got wrong. Note whether effect sizes come from researcher-designed or standardized measures. Be skeptical and precise — do not confirm a number just because it sounds plausible.",363.7,365.499,message,user,,,,,,16cec375-ea7d-4ce7-962d-04fc281c84ba,text
Agent:general-purpose:aa968d92,I'll start by loading the web tools.,365.499,365.87,message,assistant,,,,claude-opus-5,1,511eaaa8-fe0c-48b2-b82d-40ac161779d2,text
Agent:general-purpose:aa968d92,"[ToolSearch] {""query"": ""select:WebSearch,WebFetch"", ""max_results"": 5}",365.87,367.783,tool_call,tool,ToolSearch,,,claude-opus-5,,1da94d1f-f70d-41c0-9499-6318342ed094,text
