te_source_kind,speaker,content,start,end,event_type,role,tool_name,agent_type,agent_id,model,tokens_out,event_id,content_type
ai,Edwin,"I'm a high school science teacher and a lot of my students struggle to understand our science textbooks. What does the research say about the most effective ways to improve reading comprehension in science, and what should I actually do in my classroom? Give me specific studies with author names and effect sizes where you can.",0.0,11.2,message,user,,,,,,be5dcece-5473-411c-a67f-baff9bf5b1fe,text
ai,Claude,"## The short version

Three findings show up repeatedly across this literature, and they cut against how most science reading is assigned:

1. **Generic ""reading strategies"" transfer poorly.** What works in science is teaching students how scientists actually read — for evidence, model, and claim.
2. **Writing about text beats reading text again.** This is one of the most reliable effects in the corpus.
3. **The single biggest lever is prior knowledge**, which means literacy work and content work aren't competing for your minutes — they're the same minutes.

A calibration note before the numbers: Kraft (2020, *Educational Researcher*) analyzed effect-size distributions in real education RCTs and argued the old Cohen benchmarks are badly miscalibrated for schooling. For a scaled classroom intervention on a standardized achievement test, **d ≈ 0.20 is large**, 0.05–0.20 is medium. So when you see 0.15 below from a big randomized trial, that's a real result, and when you see 0.9 from a small developer-run study, discount it.

---

## The evidence lines

**Disciplinary literacy (the framing study)**
Shanahan & Shanahan (2008, *Harvard Educational Review*) worked with chemists, historians, and mathematicians and found their reading practices were mutually unrecognizable — chemists constantly transformed text into diagrams and equations and checked prose against them; historians sourced authors first. Qualitative, no effect size, but it's the paper that reframed ""content-area reading"" as a discipline-specific skill. Practical upshot: teach science reading in science class, not a generic strategy checklist.

**Reading Apprenticeship — the strongest secondary-science evidence**
Greenleaf et al. (2011, *American Educational Research Journal*) ran a cluster-randomized trial: ~100 biology teachers, several thousand 9th–10th graders, teachers got sustained PD in embedding metacognitive reading routines into biology. Significant effects on state ELA, reading comprehension, **and** biology content — roughly **d ≈ 0.15–0.25** across outcomes. Modest-looking, but this is a scaled RCT with standardized outcomes and teachers who weren't the developers. That's the honest ceiling for this kind of work.

**Writing to learn science**
Graham, Kiuhara & MacKay (2020, *Review of Educational Research*) meta-analyzed writing interventions on science/social studies/math learning: **average weighted ES ≈ 0.30**, holding across grade bands and across writing types. Graham & Hebert's (2011, *HER*) ""Writing to Read"" meta-analysis found writing about text improved comprehension of that text, with **summarization around d ≈ 0.5** and extended writing lower (~0.2). If you adopt one thing from this list, make it this.

**Refutation text**
Guzzetti, Snyder, Glass & Gamas (1993, *Reading Research Quarterly*) meta-analyzed conceptual-change interventions and found refutational text — text that names the misconception explicitly, says it's wrong, says why, then gives the correct model — outperformed standard expository text substantially. Tippett (2010, *IJSE*) reviewed the follow-up work and found the effect robust though not universal. Standard textbooks almost never do this. You can rewrite a paragraph in refutational form in five minutes.

**Text cohesion interacts with prior knowledge**
McNamara, Kintsch, Songer & Kintsch (1996, *Cognition and Instruction*) found the ""reverse cohesion effect"": low-knowledge readers do better with high-cohesion text (explicit connectives, repeated referents), while high-knowledge readers actually learn *more deeply* from low-cohesion text because the gaps force inference. Directly relevant — your struggling students likely need the connective tissue your textbook omits for space.

**Self-explanation**
McNamara (2004, *Discourse Processes*) and the iSTART program: training students to self-explain while reading science text improved deep comprehension, with the **largest gains for low-knowledge readers**. Note it's self-*explanation*, not self-summary — paraphrasing produces much weaker effects.

**Reciprocal teaching**
Rosenshine & Meister (1994, *RER*): **d ≈ 0.32** on standardized comprehension tests, **d ≈ 0.88** on researcher-made tests. That gap is instructive about the literature generally.

**Integrated science-literacy (elementary, but informative)**
Cervetti, Barber, Dorph, Pearson & Goldschmidt (2012, *JRST*), *Seeds of Science/Roots of Reading*, 4th grade RCT: science understanding **d ≈ 0.51**, science vocabulary **d ≈ 0.57**, science writing **d ≈ 0.48** — but **no significant effect on general reading comprehension**. That null is the important finding: content-embedded literacy builds content literacy, not decontextualized reading skill. Guthrie's CORI work reports much bigger numbers (comprehension d ≈ 0.9), but those are developer-implemented and elementary; treat as an upper bound, not an expectation.

**Academic vocabulary**
Lesaux, Kieffer et al. (2010, 2014) tested an academic-vocabulary intervention with middle schoolers: solid effects on taught words and word-learning strategies (~d = 0.3–0.4), **weak-to-null effects on standardized comprehension**. Teaching words works; expecting it to move a reading test doesn't.

**Diagrams**
Cromley and colleagues (e.g., Cromley et al., 2013, on biology diagram comprehension) found students routinely skip diagrams or fail to coordinate them with prose, and that explicit instruction in diagram-text integration improves biology comprehension. Consistent with Mayer's multimedia work. Also Nesbit & Adesope (2006, *RER*) on concept mapping: **ES ≈ 0.6** for knowledge retention versus reading text.

**The uncomfortable one**
Hock et al. (2009, *Learning Disability Quarterly*) assessed struggling urban high school readers and found a substantial share had unresolved *word-level* deficits — decoding and fluency, not comprehension strategy. Comprehension instruction won't reach those students. Worth knowing whether some of yours are in that group.

---

## What to actually do

**Tier 1 — highest return, start here**

- **Write after every substantive reading.** Not a worksheet — a constrained task: ""Summarize this section in exactly 25 words,"" or ""Explain to a student who thinks heat and temperature are the same thing why they aren't, using two terms from p. 214."" This is your d ≈ 0.30, and it's free.
- **Rewrite the two or three worst textbook passages per unit into refutation form.** Name the misconception, refute it, explain the correct model. Use these as the assigned reading.
- **Read one hard paragraph aloud with your own thinking exposed** — where you slow down, what you re-check against the diagram, when you don't know a word and how you decide whether it matters. This is the core Reading Apprenticeship move and it's nearly costless. Then have pairs do the same with the next paragraph.

**Tier 2 — build over a semester**

- **Make diagram-text coordination an explicit task.** ""The text says X. Point to where the figure shows X. Where do they disagree or leave something out?"" Students genuinely do not do this unprompted.
- **Self-explanation prompts in the margin** at 3–4 points per reading: ""Why does this follow from the previous sentence?"" Not ""what did this say.""
- **Front-load knowledge before the hard text**, not after. A five-minute demo or phenomenon first makes the reading dramatically more tractable — this is the prior-knowledge finding operationalized.
- **Add connectives to text you excerpt.** ""Because,"" ""however,"" ""which means that."" Cheap, and it's the McNamara cohesion finding.

**Deprioritize**

- Standalone strategy posters and generic acronyms (SQ3R and relatives) — weak evidence, and Shanahan's argument is they're the wrong grain size.
- Highlighting and rereading. Dunlosky et al. (2013, *Psychological Science in the Public Interest*) rated both low-utility; students overwhelmingly prefer them because fluency feels like learning.
- Vocabulary lists as a comprehension strategy. Fine for the words themselves, won't move comprehension.

---

Two honest caveats. Effect sizes above are as I recall them from the literature and a few are approximate ranges rather than the exact published figures — if you're citing any of these in a PD session or a grant, verify the specific number against the paper. And the secondary-science evidence base is thinner than the elementary one; a good deal of what I've described above is extrapolated downward from Greenleaf and outward from elementary trials.

Happy to pull the actual PDFs and check the specific figures, or draft a refutation-text rewrite of a passage from your textbook if you paste one in.",91.188,151.188,message,assistant,,,,claude-opus-5,6045,f78f0ffb-5a2f-4b69-b215-192983172af7,text
ai,Edwin,"Work through this yourself and report back when you have something complete, give me suggestions of what to proceed with thereafter",324.911,333.929,message,user,,,,,,eda2b94d-58ca-42fa-82b8-7287b24c342a,text
ai,Claude,I'll verify the numbers against the actual sources and fill in the gaps. Loading search tools.,333.929,334.25,message,assistant,,,,claude-opus-5,646,a2406a1b-9f50-401c-a1e8-821120a700a2,text
ai,Tool:ToolSearch,"[ToolSearch] {""query"": ""select:WebSearch,WebFetch"", ""max_results"": 2}",334.25,339.996,tool_call,tool,ToolSearch,,,claude-opus-5,,be7da74f-df7a-4c6e-ab1d-cfb291ca5c73,text
ai,Tool:WebSearch,"[WebSearch] {""query"": ""Greenleaf 2011 \""Integrating Literacy and Science in Biology\"" Reading Apprenticeship effect size AERJ""}",339.996,340.149,tool_call,tool,WebSearch,,,claude-opus-5,,2ca2e651-fa0c-45c6-8fa4-247e78b282e2,text
ai,Tool:WebSearch,"[WebSearch] {""query"": ""Graham Kiuhara MacKay 2020 \""effects of writing on learning in science\"" meta-analysis effect size""}",340.149,340.519,tool_call,tool,WebSearch,,,claude-opus-5,,3b76b0c3-cf81-405c-9058-da2ee7961ff6,text
ai,Tool:WebSearch,"[WebSearch] {""query"": ""Cervetti Barber Dorph Pearson 2012 Seeds of Science Roots of Reading effect sizes JRST""}",340.519,340.596,tool_call,tool,WebSearch,,,claude-opus-5,,5f9990f2-b084-4ce3-95ef-2a4ab6fda71b,text
ai,Tool:WebSearch,"[WebSearch] {""query"": ""Kraft 2020 \""interpreting effect sizes\"" education research benchmarks 0.20 large""}",340.596,345.517,tool_call,tool,WebSearch,,,claude-opus-5,,1b662086-01c0-4581-80aa-53b087c7c867,text
ai,Tool:WebSearch,"Web search results for query: ""Graham Kiuhara MacKay 2020 ""effects of writing on learning in science"" meta-analysis effect size""

Links: [{""title"":""ERIC - EJ1249514 - The Effects of Writing on Learning in Science, Social Studies, and Mathematics: A Meta-Analysis, Review of Educational Research, 2020-Apr"",""url"":""https://eric.ed.gov/?id=EJ1249514""},{""title"":""The Effects of Writing on Learning in Science, Social Studies, and Mathematics: A Meta-Analysis | Request PDF"",""url"":""https://www.researchgate.net/publication/340035444_The_Effects_of_Writing_on_Learning_in_Science_Social_Studies_and_Mathematics_A_Meta-Analysis""},{""title"":""An Analysis of the Effect of Writing-to-Learn Activities ..."",""url"":""https://files.eric.ed.gov/fulltext/EJ1308707.pdf""},{""title"":""The Effects of Writing on Learning in Science, Social Studies, and Mathematics: A Meta-Analysis — Arizona State University"",""url"":""https://asu.elsevierpure.com/en/publications/the-effects-of-writing-on-learning-in-science-social-studies-and-""},{""title"":""The Effects of Writing on Learning in Science, Social Studies, and Mathematics: A Meta-Analysis - Steve Graham, Sharlene A. Kiuhara, Meade MacKay, 2020"",""url"":""https://journals.sagepub.com/doi/abs/10.3102/0034654320914744""},{""title"":""How effective is writing as a learning activity in different ..."",""url"":""https://www.clearinghouse.edu.tum.de/wp-content/uploads/2023/08/CHU-KR-29_ENG_Graham-2020.pdf""},{""title"":""Google Scholar"",""url"":""https://scholar.google.com/scholar_lookup?title=The+effects+of+writing+on+learning+in+science,+social+studies,+and+mathematics:+A+meta-analysis&amp=&author=S.+Graham&amp=&author=S.+A.+Kiuhara&amp=&author=M.+MacKay&amp=&publication_year=2020&amp=&journal=Review+of+Educational+Research&amp=&pages=179-226&amp=&doi=10.3102/0034654320914744""},{""title"":""A meta-analysis of writing in social studies, science, and math | 卓越實證概述 Best Evidence in Brief"",""url"":""https://cuspbeb.com/en/a-meta-analysis-of-writing-in-social-studies-science-and-math/""},{""title"":""The Effects of Writing on Learning in Science, Social Studies, and Mathematics: A Meta-Analysis | Semantic Scholar"",""url"":""https://www.semanticscholar.org/paper/The-Effects-of-Writing-on-Learning-in-Science,-and-Graham-Kiuhara/c7d4149dc47b4a6a153803c7672143d07b3431ac""},{""title"":""The Effects of Writing on Learning in Science, Social Studies, and Mathematics: A Meta-Analysis | Reading Rockets"",""url"":""https://www.readingrockets.org/resources/resource-library/effects-writing-learning-science-social-studies-and-mathematics-meta""}]

I found the study you're looking for. Graham, Kiuhara, and MacKay's 2020 meta-analysis in the Review of Educational Research examined if students writing about content material in science, social studies, and mathematics facilitated learning across 56 experiments. The studies included were true or quasi-experiments with pretests, written in English, and conducted with students in Grades 1 to 12 in which the writing-to-learn activity was part of instruction.

However, the search results don't contain the specific effect size values from the meta-analysis. To get that detailed information, you would need to access the full text of the article published in Review of Educational Research, Vol. 90, No. 2, pages 179-226 (DOI: 10.3102/0034654320914744).


REMINDER: You MUST include the sources above in your response to the user using markdown hyperlinks.",345.517,347.084,tool_result,tool,WebSearch,,,,,9973cac8-9936-4bb9-8e3b-9ef7acd839cc,text
