speaker,content,start,end,event_type,role,tool_name,agent_type,agent_id,model,tokens_out,event_id,content_type
Edwin,"I'm a high school science teacher and a lot of my students struggle to understand our science textbooks. What does the research say about the most effective ways to improve reading comprehension in science, and what should I actually do in my classroom? Give me specific studies with author names and effect sizes where you can.",0.0,11.2,message,user,,,,,,48098599-f34e-4a58-8252-de5225d881e0,text
Idle,[Gap: 31s — user reading/thinking/away],11.2,42.223,idle,system,,,,,,idle_0,text
Claude,"# Improving Science Reading Comprehension: What the Research Says

Here's a synthesis of what the evidence supports, organized from strongest to weakest.

---

## The single most important finding: comprehension in science is not a generic skill

The dominant instinct is to teach ""reading strategies."" The research complicates that. **Willingham and Lovette (2014)** and the broader knowledge-effects literature argue that once students have learned a strategy (which happens fast — often in a handful of sessions), additional practice yields little. The classic demonstration is **Recht and Leslie (1988)**: poor readers with high baseball knowledge outperformed good readers with low baseball knowledge on a passage about a baseball game. Domain knowledge dominated general reading skill.

**Practical implication:** if a student can't read your textbook chapter on cellular respiration, the bottleneck is usually not ""they lack a comprehension strategy"" — it's that they don't have enough biology and vocabulary knowledge for the text to cohere. This reframes a lot of intervention time.

That said, strategy instruction isn't worthless — it's front-loaded. A modest amount goes a long way; extended strategy curricula have poor returns.

---

## Interventions with solid evidence

### 1. Text-based argumentation and reading-writing integration

The strongest science-specific results come from programs integrating reading, writing, and argument with content instruction.

- **Seeing Writing / Reading Apprenticeship** work by **Greenleaf, Litman, Hanson, and colleagues (2011)**, a cluster-randomized trial in high school biology, found significant effects on both reading comprehension and biology content knowledge. Effect sizes were modest but real — roughly d ≈ 0.20–0.30 range on standardized reading measures, somewhat larger on content.
- **Goldman, Britt, et al.** and the Project READI work developed evidence-based frameworks around evidence-based argumentation from multiple science texts.
- **Cervetti, Barber, Dorph, Pearson, and Goldschmidt (2012)** — the Seeds of Science/Roots of Reading trial — integrated science inquiry with reading and writing, showing gains in science vocabulary and content with more equivocal effects on general comprehension.

The pattern: **integrated approaches beat bolt-on reading instruction.**

### 2. Vocabulary instruction (specifically, morphology and academic language)

Science texts are lexically dense. **Nagy and Townsend (2012)** on academic vocabulary as the ""language of school"" is a key theoretical piece. Effects on taught words are large (d > 0.7 typically); transfer to general comprehension is much weaker (d ≈ 0.10–0.15). Teach the words you need, but don't expect vocabulary work to fix comprehension broadly.

Morphological instruction — Greek/Latin roots, which science is saturated with — has meta-analytic support from **Bowers, Kirby, and Deacon (2010)**, with effects around d ≈ 0.30–0.40 for morphological outcomes, weaker for comprehension.

### 3. Self-explanation and elaborative interrogation

**Chi, de Leeuw, Chiu, and LaVancher (1994)** on self-explanation while reading a biology text on the circulatory system: prompted students to explain each sentence to themselves; gains were substantial on deep-comprehension measures. **McNamara's** work on Self-Explanation Reading Training (SERT) extends this.

**Dunlosky, Rawson, Marsh, Nathan, and Willingham (2013)** — the big ""Improving Students' Learning With Effective Learning Techniques"" review in *Psychological Science in the Public Interest* — rated elaborative interrogation and self-explanation as **moderate utility**, and rated practice testing and distributed practice as **high utility**. Notably, they rated **rereading and highlighting as low utility** — which matters, because those are what your students are probably doing.

### 4. Text structure instruction

Science texts use compare/contrast, cause/effect, and problem/solution structures. Teaching students to recognize and use these has decent support — **Hebert, Bohaty, Nelson, and Brown (2016)** meta-analysis of text structure instruction on expository reading found average effects around **g ≈ 0.57** on comprehension, which is on the higher end for reading interventions.

---

## What to actually do in your classroom

**Highest leverage, lowest cost:**

1. **Front-load knowledge before the reading, not after.** A 10-minute concrete overview — video, demo, quick explanation of the key mechanism — before students open the text. This is the knowledge-effects finding operationalized. The text becomes readable because they already have a schema for it.

2. **Stop assigning silent reading of the chapter as homework.** It's the lowest-yield use of the text. Instead, read key passages in class with structured interaction.

3. **Use self-explanation prompts.** After every paragraph or two of a hard passage: ""What does this mean in your own words? How does it connect to what we did yesterday?"" Cheap, and it's the Chi finding directly.

4. **Teach the text structure explicitly.** ""This section is a cause-and-effect chain — find the links."" Give them a graphic organizer matched to the structure. Strongest single effect size in the list.

5. **Replace rereading with retrieval.** Close the book, write what you remember, then reopen and check. Dunlosky's high-utility category.

6. **Do morphology as a five-minute routine.** *hypo/hyper, -tonic, endo/exo, -lysis, photo-, -synthesis*. Science vocabulary is unusually decomposable — this pays off more here than in most subjects.

**Worth doing if you have time:**

7. **Two texts on the same phenomenon, then argue.** The Project READI move: give a textbook passage and a short secondary source, ask which better explains the phenomenon and why. This builds the argumentation skill that transfers.

8. **Model your own reading aloud.** Reading Apprenticeship's core move — think aloud through a hard paragraph, including where you get confused and what you do about it. Students rarely know that expert reading involves confusion.

---

## Two caveats on the numbers above

**On the effect sizes:** I've given ranges from memory and I want to be explicit that several are approximate. The Hebert et al. figure (g ≈ 0.57) and the Dunlosky utility ratings I'm most confident about. The Greenleaf effect sizes and the Bowers et al. morphology figures I'd want you to verify before citing them in, say, a department presentation or grant application — I may be off, and I could be conflating outcome measures within a study (a study often reports quite different effects for researcher-designed vs. standardized tests, and the standardized ones are almost always smaller). Google Scholar will get you the originals quickly.

**On the general state of the literature:** reading intervention effect sizes shrink substantially when measured on standardized rather than researcher-designed tests, and shrink again in effectiveness trials versus efficacy trials. Treat anything above d ≈ 0.4 in this field with mild skepticism unless it's replicated. The interventions above are worth doing, but none of them are transformative on their own — the cumulative knowledge-building effect over a year is likely bigger than any single technique.

---

If it's useful, tell me which units your students struggle with most and I can help design the front-loading and text-structure scaffolds for a specific chapter — that's where this stops being a literature review and starts being lesson planning.",42.223,102.223,message,assistant,,,,claude-opus-5,2509,ce20e9a5-3f1b-4b6c-ba44-6c04aa4c68f7,text
Idle,[Gap: 172s — user reading/thinking/away],102.223,274.322,idle,system,,,,,,idle_1,text
Edwin,"Are you sure, can you give me more specific citations and then share the actual effect sizes across as well ?",274.322,278.522,message,user,,,,,,9c393429-173a-444f-8557-c64623391579,text
Idle,[Gap: 59s — user reading/thinking/away],278.522,337.622,idle,system,,,,,,idle_2,text
Claude,"Direct answer to ""are you sure"": for the *existence and general findings* of these studies, mostly yes. For the *specific numbers*, no — and I want to be straight with you that pushing me for more precision from memory will produce numbers that **sound** more authoritative without being more reliable. That's the failure mode to avoid, especially if this is going into anything with your name on it.

So here's everything sorted by what I'd actually stand behind.

---

## Full citations, with confidence flags

### High confidence — citation and finding

| Study | Full citation | What it found |
|---|---|---|
| Recht & Leslie (1988) | *Effect of prior knowledge on good and poor readers' memory of text.* Journal of Educational Psychology, 80(1), 16–20. | Baseball knowledge beat reading ability on a baseball passage. Note: they reported group comparisons, **not** a Cohen's d — anyone citing ""the effect size"" here is inventing it. |
| Chi, de Leeuw, Chiu & LaVancher (1994) | *Eliciting self-explanations improves understanding.* Cognitive Science, 18(3), 439–477. | Prompted self-explanation on a circulatory-system text produced substantially larger gains than unprompted reading. Reported as pre/post gain percentages, not d. |
| Dunlosky, Rawson, Marsh, Nathan & Willingham (2013) | *Improving students' learning with effective learning techniques.* Psychological Science in the Public Interest, 14(1), 4–58. | Practice testing + distributed practice = high utility. Elaborative interrogation, self-explanation, interleaving = moderate. Rereading, highlighting, summarization = low. These are **utility ratings, not effect sizes** — that distinction is the paper's whole design. |
| Greenleaf, Litman, Hanson, Rosen, Boscardin, Herman, Schneider, Madden & Jones (2011) | *Integrating literacy and science in biology.* American Educational Research Journal, 48(3), 647–717. | Cluster-randomized, high school biology, Reading Apprenticeship PD. Significant positive effects on reading comprehension and biology content. |
| Hebert, Bohaty, Nelson & Brown (2016) | *The effects of text structure instruction on expository reading comprehension: A meta-analysis.* Journal of Educational Psychology, 108(5), 609–629. | Text structure instruction improves expository comprehension; effects vary considerably by outcome measure type. |
| Bowers, Kirby & Deacon (2010) | *The effects of morphological instruction on literacy skills: A systematic review.* Review of Educational Research, 80(2), 144–179. | Morphological instruction helps; larger effects for younger and less-able readers. |
| Nagy & Townsend (2012) | *Words as tools: Learning academic vocabulary as language acquisition.* Reading Research Quarterly, 47(1), 91–108. | Theoretical//framework piece — **contains no effect sizes at all.** Cite it for the argument, not for numbers. |

### Medium confidence — real work, details I'd verify

- **Cervetti, Barber, Dorph, Pearson & Goldschmidt (2012)**, *The impact of an integrated approach to science and literacy in elementary school classrooms*, Journal of Research in Science Teaching, 49(5), 631–658. **Correction to my earlier answer:** this is an *elementary* study. I listed it in a way that implied it supported your high school context. It doesn't directly.
- **Graham & Hebert (2011)**, *Writing to read: A meta-analysis of the impact of writing on reading*, Harvard Educational Review, 81(4), 710–744. Relevant and I should have included it the first time — writing about text improves comprehension of that text.
- **McNamara (2004)**, SERT / self-explanation reading training, Discourse Processes. Confident the program exists and is hers; less sure of the specific article year.
- **Goldman, Britt, Brown, Cribb, George, Greenleaf, Lee & Shanahan (2016)**, *Disciplinary literacies and learning to read for understanding*, Educational Psychologist, 51(2), 219–246. This is Project READI's framework paper — conceptual, not a trial.
- **Willingham & Lovette (2014)**, *Can reading comprehension be taught?* — I'm confident about the authors, title, and argument; less sure of the venue (I believe Teachers College Record, as a commentary rather than a research article).

### Low confidence — the numbers themselves

Every effect size I gave you was reconstructed from memory:

| What I said | Status |
|---|---|
| Hebert et al., g ≈ 0.57 | Plausible, and the one I'd bet on most — but the paper reports **multiple** effect sizes by measure type, so a single number misrepresents it regardless of whether 0.57 is right. |
| Greenleaf et al., d ≈ 0.20–0.30 | Genuinely uncertain. My instinct now is that standardized-measure effects were **smaller** than what I quoted. Do not use. |
| Bowers et al., d ≈ 0.30–0.40 | Right order of magnitude, specific figure unverified. |
| Vocabulary: taught words d > 0.7, transfer d ≈ 0.10–0.15 | This is my summary of a general pattern in the literature, not a figure from any single study I named. The pattern is real; the numbers are illustrative. |

I'm not going to generate more precise-looking versions of these. If I did, I'd be manufacturing confidence rather than adding information.

---

## How to get the real numbers in about 20 minutes

1. Google Scholar each citation above — all should resolve immediately. If one doesn't, that's a signal I got it wrong; tell me and I'll flag what I think I garbled.
2. For the two meta-analyses (Hebert, Bowers), go to the results table, not the abstract. Take the effect for **standardized** comprehension measures, which will be lower than the headline.
3. For Greenleaf, look for the table separating state-test outcomes from researcher-designed outcomes.
4. Your school or district librarian can likely get you PDFs behind paywalls; ERIC (eric.ed.gov) has free versions of several.

One more correction: in my first answer I wrote ""Seeing Writing / Reading Apprenticeship."" **Reading Apprenticeship** is the actual program name (WestEd's Strategic Literacy Initiative). ""Seeing Writing"" was my error and will send you nowhere.

---

## What doesn't change

The classroom recommendations hold regardless of whether those specific decimals are right, because they rest on the directional consensus rather than any single trial: build knowledge before reading, prompt self-explanation, teach text structure explicitly, use retrieval instead of rereading, exploit science morphology. If Greenleaf's effect turns out to be 0.14 rather than 0.25, you'd still do all five.

Happy to help you build the front-loading and structure scaffolds for a specific unit once you've got the citations you need — and if you tell me which claims you're planning to put in front of colleagues, I'll tell you which ones I think are safe to assert without checking first.",337.622,356.573,message,assistant,,,,claude-opus-5,4422,dd7b7d59-cf62-436e-b326-6069aa606fa1,text
Idle,[Gap: 19s — user reading/thinking/away],356.573,375.525,idle,system,,,,,,idle_3,text
Edwin,"Why were these reconstructed from memory, if these are NOT accurate then why are you sharing them? can you find more specific information on this / help me build this solution out.",375.525,381.925,message,user,,,,,,c1ae4198-83ab-43ca-b88c-b9c57f9514a6,text
Idle,[Gap: 63s — user reading/thinking/away],381.925,444.781,idle,system,,,,,,idle_4,text
